PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
50,49677151,4827116,CC(=O)C1=CC=CC=C1NC(=O)CCCNC(=O)C2=CC=C(C=C2)Cl,Inactive,16,,,9.62,0.975713,10.6731,9.86862,8.32186
51,17514336,1263311,CN1C2=CC=CC3=C2C(=C(C1=O)NC4=CC=C(C=C4)O)C5=CC=CC=C5C3=O,Inactive,15,,,9.44,1.52799,10.8335,10.1698,7.31165
52,24839768,2548299,C1C(=O)N(C(=O)S1)CCNC(=O)CSC2=NN=C(O2)CC3=CC=CC=C3,Inactive,15,,,9.43,0.914831,10.009,10.15,8.14268
53,103076326,49791091,C1=CC(=CC=C1CCNC2=NN3C(=CN=C3S2)C4=CC(=C(C=C4)F)Cl)S(=O)(=O)N,Inactive,15,,,9.06,0.869914,10.258,8.22298,8.69338
54,51089179,24892386,C1CCC(C1)NC(=O)CSC2=NN=C(S2)NC(=O)C3CC(=O)N(C3)C4=CC=C(C=C4)F,Inactive,15,,,8.99,0.571492,9.42875,9.35548,8.18146
55,3712247,2567609,CCOC1=C(C=C(C=C1)C(=O)C)CSC2=NN=C(N2N)C3=C(OC=C3)C,Inactive,15,,,8.95,1.46547,10.6558,9.11746,7.07779
56,14721578,3190515,CC1=CC=C(C=C1)NC(=O)CS(=O)CC(=O)N(C2=CC=C(C=C2)C)C(C)C(=O)NC3CCCCC3,Inactive,14,,,8.8,0.631615,8.59462,9.6616,8.15786
57,49818077,24817151,C1CN(CC(=O)N1)C(=O)C2=CC3=C(C=C2)N=C(O3)CC4=CC(=CC=C4)Cl,Inactive,14,,,8.75,1.2962,9.84195,6.92763,9.47598
58,24787426,3232464,CC1=NC2=NC=NN2C(=C1CC3=CC=CC=C3)N4CCC(CC4)NC(=O)C(CC5=C(C=C(C=C5)OC)OC)NC(=O)C,Inactive,14,,,8.58,1.16529,10.2227,7.68694,7.82001
59,56463607,25102695,C[C@H]1CN=C(N1CCCCC2=CC=CC=C2)N(C)C,Inactive,14,,,8.57,1.21179,10.1077,8.46384,7.14534
60,4259406,1565334,C1CCCN(CC1)C(=O)CCCOC2=CC=C(C=C2)Cl,Inactive,14,,,8.35,0.484076,7.77377,8.31141,8.95784
61,47194273,3089611,CC(C)CCN1C(=O)C2=C3C(=C(C=C2)N)C=CC=C3C1=O,Inactive,13,,,8.21,0.969511,9.56457,7.74848,7.33133
62,26665011,382634,C1CC2=CC3=C(CC4(C3)CC5=C(C4)C=C6C(=C5)CCCC6=O)C=C2C(=O)C1,Inactive,13,,,8.2,1.00042,6.79413,8.75692,9.04611
63,24802176,72146,COC1=C(C=CC(=C1)C(=S)N2CCOCC2)O,Inactive,13,,,8.15,1.25283,9.07877,8.98962,6.37767
64,26730157,2815812,C1=CC=C2C(=C1)N=C(S2)C3=C(SC=C3)NC(=O)NC4=C(C=C(C=C4)F)F,Inactive,13,,,8.1,0.682544,7.51025,7.73204,9.05624
65,57266820,2468499,CC1=CC(=NO1)NC(=O)COC(=O)C2=CC=C(C=C2)OC(F)(F)F,Inactive,13,,,8.07,0.717867,7.67515,7.46518,9.0821
66,24806337,9587470,C1OC2=C(O1)C=C(C=C2)C(=O)O/N=C(/C3=CC=NC=C3)\N,Inactive,13,,,8.05,1.45908,9.89418,7.93835,6.32568
67,22406735,9670310,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=CS3)/C=N/NC4=CC=C(C=C4)S(=O)(=O)N,Inactive,13,,,8.02,0.8255,8.77605,6.86823,8.40239
68,14723557,9585167,COC1=C(C=C(C=C1)/C=N/C2=C(N=C3N2C=CC=C3)C4=CC=CO4)OC,Inactive,13,,,8.01,1.02472,6.91522,9.38141,7.74384
69,57261043,16301699,COC1=CC=CC(=C1)NC(=O)C(C2=CC=CC=C2)N3CCN(CC3)CC(=O)N4CCOCC4,Inactive,13,,,8.01,0.63211,8.23785,8.64112,7.14485
70,121285770,51361093,COCCNC(=O)C1=C(N=C(N1)C(F)(F)F)C2=CC=CC=C2,Inactive,13,,,7.89,0.310521,8.32765,7.69674,7.64427
71,85269690,4033830,C1N(C2=NC3=CC=CC=C3N=C2N1S(=O)(=O)C4=CC=CC(=C4)[N+](=O)[O-])C5=CC=C(C=C5)Br,Inactive,13,,,7.84,0.844191,9.02072,7.40301,7.09642
72,17387041,5985277,CCCC(=O)NC1=CC=C(C=C1)C(=O)N/N=C/2\CC(CC=C2C)C(=C)C,Inactive,13,,,7.83,0.436781,8.3896,7.32554,7.76093
73,99360210,46904655,COC1=CC=C(C=C1)[C@@H]2[C@H]3[C@H](C(=O)N(C3=O)CC4=CC=CC=C4)[C@]5(N2)CCCN(C5=O)CC6=CC=C(C=C6)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,13,,,7.81,0.940344,6.92437,7.39827,9.11342
74,17511470,3783290,C1=CC(=CC2=C1C=CC3=C2C(C(=C(O3)N)C#N)C4=CSC=C4)O,Inactive,13,,,7.78,0.628923,6.91262,8.05196,8.38027
75,49737453,24794182,C1CCC(C1)CCCNC(=O)C2CCC(=O)N(C2)CC3=CC=C(C=C3)Cl,Inactive,13,,,7.75,0.631616,7.83654,6.94355,8.48419
76,47198411,796932,C1=CC=C(C=C1)P(=O)(CC2=CC=C(C=C2)[N+](=O)[O-])C3=CC=CC=C3,Inactive,12,,,7.62,0.812025,7.55237,6.66592,8.65118
77,17415630,9585654,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O/N=C(/C3=CC(=CC=C3)[N+](=O)[O-])\N,Inactive,12,,,7.61,0.927915,7.47894,6.5484,8.80955
78,26732349,16060481,C[C@@]12CCC=C[C@H]1[C@@H](N(C2=O)CC3=CC=CC=C3)C4=C(C=C(C=C4)/C=C/C5=CC=CC=C5)F,Inactive,12,,,7.51,0.975128,7.13075,6.5434,8.84212
79,49821463,3581221,CC1=C(C=C(C=C1)NC(=O)C2CC(CN2C(=O)OCC3=CC=CC=C3)O)C,Inactive,12,,,7.38,1.54439,9.21719,7.47516,5.43805
80,99495054,46948381,C1=CC=C(C=C1)C(C2=NC(=CS2)C3=CC4=CC=CC=C4N=C3)O,Inactive,12,,,7.29,1.28055,5.62556,7.50146,8.74063
